"Entry_Time","Entry_Price","Exit_Time","Exit_Price","Strategy","PnL","Status"
"2025-05-29T19:51:00.000Z",105897.65,"2025-05-29T19:52:00.000Z",105769.21,"RSI-EMA",-128,"Loss"
"2025-05-29T20:00:00.000Z",105958.25,"2025-05-29T20:09:00.000Z",105923.27,"RSI-EMA",-35,"Loss"
"2025-05-29T20:15:00.000Z",106047.62,"2025-05-29T20:24:00.000Z",106067.5,"RSI-EMA",20,"Win"
"2025-05-29T20:17:00.000Z",106083.97,"2025-05-29T20:26:00.000Z",106142.85,"MACD Crossover",59,"Win"
"2025-05-29T20:25:00.000Z",106107.25,"2025-05-29T20:41:00.000Z",106059.7,"RSI-EMA",-48,"Loss"
"2025-05-29T20:32:00.000Z",106221.9,"2025-05-29T20:35:00.000Z",106192.01,"MACD Crossover",-30,"Loss"
"2025-05-29T20:53:00.000Z",106142.86,"2025-05-29T21:25:00.000Z",106280.99,"MACD Crossover",138,"Win"
"2025-05-29T20:53:00.000Z",106142.86,"2025-05-29T20:57:00.000Z",106155.72,"RSI-EMA",13,"Win"
"2025-05-29T21:00:00.000Z",106192.59,"2025-05-29T21:02:00.000Z",106298.69,"RSI-EMA",106,"Win"
"2025-05-29T21:03:00.000Z",106286.08,"2025-05-29T21:19:00.000Z",106380.96,"RSI-EMA",95,"Win"
"2025-05-29T21:20:00.000Z",106395,"2025-05-29T21:23:00.000Z",106386.78,"RSI-EMA",-8,"Loss"
"2025-05-29T21:24:00.000Z",106311.37,"2025-05-29T21:27:00.000Z",106208.35,"RSI-EMA",-103,"Loss"
"2025-05-29T21:39:00.000Z",106295.85,"2025-05-29T21:52:00.000Z",106302.99,"MACD Crossover",7,"Win"
"2025-05-29T21:39:00.000Z",106295.85,"2025-05-29T21:48:00.000Z",106275.11,"RSI-EMA",-21,"Loss"
"2025-05-29T21:56:00.000Z",106411.43,"2025-05-29T22:00:00.000Z",106394.01,"RSI-EMA",-17,"Loss"
"2025-05-29T21:57:00.000Z",106459.9,"2025-05-29T22:05:00.000Z",106307.29,"MACD Crossover",-153,"Loss"
"2025-05-29T22:01:00.000Z",106414.84,"2025-05-29T22:03:00.000Z",106350.4,"RSI-EMA",-64,"Loss"
"2025-05-29T22:07:00.000Z",106403.29,"2025-05-29T22:13:00.000Z",106311.05,"RSI-EMA",-92,"Loss"
"2025-05-29T22:21:00.000Z",106290.31,"2025-05-29T22:25:00.000Z",106250.01,"RSI-EMA",-40,"Loss"
"2025-05-29T22:24:00.000Z",106322.19,"2025-05-29T22:26:00.000Z",106203.83,"MACD Crossover",-118,"Loss"
"2025-05-29T22:49:00.000Z",106135.51,"2025-05-29T22:55:00.000Z",106008.75,"RSI-EMA",-127,"Loss"
